date,recording,weekday,wake,P,R,E,S,W,F,GOD
2025-10-14,trial-pair01,T,0500,365,300,65,205,5,90,55
2025-10-13,trial-pair01,M,0725,305,305,50,130,5,265,10
2025-10-12,trial-pair01,Su,0855,155,185,90,95,60,75,265
2025-10-11,trial-pair01,Sa,0830,290,260,75,55,45,200,35
2025-10-10,trial-pair01,F,0835,140,255,65,115,5,140,200
2025-10-09,trial-pair01,Th,0730,165,260,50,360,75,95,35
2025-10-08,trial-pair01,W,0805,220,280,85,210,55,75,105
2025-10-07,trial-pair01,T,0855,340,180,0,40,5,150,115
2025-10-06,trial-pair01,M,0555,545,225,0,145,5,85,70
2025-10-05,trial-pair01,Su,0830,185,155,0,130,0,160,315
2025-10-04,trial-pair01,Sa,0845,140,200,95,140,110,275,25
2025-10-03,trial-pair01,F,0305,590,255,20,85,0,140,0
2025-10-02,trial-pair01,Th,0800,205,170,35,330,5,40,130
2025-10-01,trial-pair01,W,0845,180,215,35,305,0,45,125
2025-07-24,trial-pair02,Th,0830,375,145,40,210,50,80,60
2025-07-23,trial-pair02,W,0845,550,145,50,45,25,145,10
2025-07-22,trial-pair02,T,0810,180,235,90,245,60,110,25
2025-07-21,trial-pair02,M,0810,435,205,75,35,55,230,5
2025-07-20,trial-pair02,Su,0745,380,225,60,110,60,105,105
2025-07-19,trial-pair02,Sa,0830,240,170,45,160,30,155,105
2025-07-18,trial-pair02,F,0755,515,160,70,75,55,80,20
2025-07-17,trial-pair02,Th,0725,525,140,35,100,50,70,30
2025-07-16,trial-pair02,W,0755,470,120,55,35,15,225,30
2025-07-15,trial-pair02,T,0805,205,145,285,100,40,40,115
2025-07-14,trial-pair02,M,0805,530,150,45,45,55,75,30
2025-07-13,trial-pair02,Su,0615,140,280,160,325,15,0,100
2025-07-12,trial-pair02,Sa,0740,265,170,75,220,55,120,25
2025-07-11,trial-pair02,F,0755,515,140,50,45,40,90,40
2025-04-06,trial-pair03,Su,0830,400,220,60,95,5,55,155
2025-04-05,trial-pair03,Sa,0815,280,235,230,65,0,125,90
2025-04-04,trial-pair03,F,0800,115,330,90,90,0,285,20
2025-04-03,trial-pair03,Th,0755,180,275,85,160,65,70,160
2025-04-02,trial-pair03,W,0700,450,200,65,85,15,65,85
2025-04-01,trial-pair03,T,0815,255,245,55,280,50,30,90
2025-03-31,trial-pair03,M,0715,520,175,90,65,10,65,5
2025-03-30,trial-pair03,Su,0755,165,120,5,410,15,0,375
2025-03-29,trial-pair03,Sa,0900,185,295,15,80,5,295,35
2025-03-28,trial-pair03,F,0650,415,245,40,130,35,60,225
2025-03-27,trial-pair03,Th,0835,60,255,30,250,60,0,335
2025-03-26,trial-pair03,W,0700,450,275,45,85,0,20,125
2025-03-25,trial-pair03,T,0755,220,215,35,360,75,80,35
2025-03-24,trial-pair03,M,0550,695,195,30,90,0,35,55
2024-11-18,trial-pair04,M,0725,470,190,100,50,50,20,80
2024-11-17,trial-pair04,Su,0725,255,230,75,230,0,115,30
2024-11-16,trial-pair04,Sa,0715,260,155,85,45,10,255,120
2024-11-15,trial-pair04,F,0735,210,230,120,50,40,200,85
2024-11-14,trial-pair04,Th,0805,195,285,70,25,45,125,115
2024-11-13,trial-pair04,W,0810,395,155,85,65,0,80,60
2024-11-12,trial-pair04,T,0745,315,235,100,95,0,45,65
2024-11-11,trial-pair04,M,0750,275,240,105,105,40,135,70
2024-11-10,trial-pair04,Su,0755,85,225,105,105,50,85,250
2024-11-09,trial-pair04,Sa,0750,35,235,135,200,130,100,140
2024-11-08,trial-pair04,F,0805,75,250,105,165,85,75,155
2024-11-07,trial-pair04,Th,0710,425,240,105,70,45,95,0
2024-11-06,trial-pair04,W,0805,430,185,90,45,55,45,100
2024-11-05,trial-pair04,T,0815,400,245,70,135,30,60,0
2024-09-25,trial-pair05,W,0835,570,155,75,85,0,50,50
2024-09-24,trial-pair05,T,0835,390,290,95,85,70,25,0
2024-09-23,trial-pair05,M,0730,310,185,140,220,75,90,25
2024-09-22,trial-pair05,Su,0745,165,180,115,150,40,105,200
2024-09-21,trial-pair05,Sa,0835,125,250,130,35,75,235,50
2024-09-20,trial-pair05,F,0800,195,230,65,100,100,95,200
2024-09-19,trial-pair05,Th,0645,495,225,75,135,5,60,20
2024-09-18,trial-pair05,W,0745,395,175,75,60,30,90,145
2024-09-17,trial-pair05,T,0805,345,250,80,85,60,125,0
2024-09-16,trial-pair05,M,0740,400,185,70,125,70,110,30
2024-09-15,trial-pair05,Su,0755,325,110,100,45,0,205,175
2024-09-14,trial-pair05,Sa,0840,255,180,125,30,55,210,30
2024-09-13,trial-pair05,F,0845,125,165,90,130,75,200,135
2024-09-12,trial-pair05,Th,0800,460,195,90,45,0,45,75
