date,next_wake,recording,sleep_minutes
2025-10-13,2025-10-14,trial-pair01,225
2025-10-12,2025-10-13,trial-pair01,425
2025-10-11,2025-10-12,trial-pair01,505
2025-10-10,2025-10-11,trial-pair01,515
2025-10-09,2025-10-10,trial-pair01,465
2025-10-08,2025-10-09,trial-pair01,375
2025-10-07,2025-10-08,trial-pair01,560
2025-10-06,2025-10-07,trial-pair01,545
2025-10-05,2025-10-06,trial-pair01,340
2025-10-04,2025-10-05,trial-pair01,440
2025-10-03,2025-10-04,trial-pair01,690
2025-10-02,2025-10-03,trial-pair01,230
2025-10-01,2025-10-02,trial-pair01,490
2025-07-23,2025-07-24,trial-pair02,455
2025-07-22,2025-07-23,trial-pair02,530
2025-07-21,2025-07-22,trial-pair02,400
2025-07-20,2025-07-21,trial-pair02,420
2025-07-19,2025-07-20,trial-pair02,490
2025-07-18,2025-07-19,trial-pair02,500
2025-07-17,2025-07-18,trial-pair02,520
2025-07-16,2025-07-17,trial-pair02,460
2025-07-15,2025-07-16,trial-pair02,500
2025-07-14,2025-07-15,trial-pair02,510
2025-07-13,2025-07-14,trial-pair02,540
2025-07-12,2025-07-13,trial-pair02,425
2025-07-11,2025-07-12,trial-pair02,505
2025-04-05,2025-04-06,trial-pair03,430
2025-04-04,2025-04-05,trial-pair03,525
2025-04-03,2025-04-04,trial-pair03,450
2025-04-02,2025-04-03,trial-pair03,530
2025-04-01,2025-04-02,trial-pair03,360
2025-03-31,2025-04-01,trial-pair03,570
2025-03-30,2025-03-31,trial-pair03,310
2025-03-29,2025-03-30,trial-pair03,465
2025-03-28,2025-03-29,trial-pair03,420
2025-03-27,2025-03-28,trial-pair03,345
2025-03-26,2025-03-27,trial-pair03,535
2025-03-25,2025-03-26,trial-pair03,365
2025-03-24,2025-03-25,trial-pair03,465
2024-11-17,2024-11-18,trial-pair04,505
2024-11-16,2024-11-17,trial-pair04,520
2024-11-15,2024-11-16,trial-pair04,485
2024-11-14,2024-11-15,trial-pair04,550
2024-11-13,2024-11-14,trial-pair04,595
2024-11-12,2024-11-13,trial-pair04,610
2024-11-11,2024-11-12,trial-pair04,465
2024-11-10,2024-11-11,trial-pair04,530
2024-11-09,2024-11-10,trial-pair04,470
2024-11-08,2024-11-09,trial-pair04,515
2024-11-07,2024-11-08,trial-pair04,515
2024-11-06,2024-11-07,trial-pair04,435
2024-11-05,2024-11-06,trial-pair04,490
2024-09-24,2024-09-25,trial-pair05,485
2024-09-23,2024-09-24,trial-pair05,455
2024-09-22,2024-09-23,trial-pair05,470
2024-09-21,2024-09-22,trial-pair05,490
2024-09-20,2024-09-21,trial-pair05,490
2024-09-19,2024-09-20,trial-pair05,500
2024-09-18,2024-09-19,trial-pair05,410
2024-09-17,2024-09-18,trial-pair05,475
2024-09-16,2024-09-17,trial-pair05,470
2024-09-15,2024-09-16,trial-pair05,465
2024-09-14,2024-09-15,trial-pair05,510
2024-09-13,2024-09-14,trial-pair05,515
2024-09-12,2024-09-13,trial-pair05,575
